V1,spp_code,common,scientific_name,genus_name,spp_name,state,tot_ba,state_abrv
1,s10,fir spp.,Abies spp.,Abies,spp.,Washington,34685895.83,WA
2,s10,fir spp.,Abies spp.,Abies,spp.,Montana,23608596.55,MT
3,s10,fir spp.,Abies spp.,Abies,spp.,Maine,22653696,ME
4,s10,fir spp.,Abies spp.,Abies,spp.,North Dakota,2456.734508,ND
5,s10,fir spp.,Abies spp.,Abies,spp.,South Dakota,32.65066324,SD
6,s10,fir spp.,Abies spp.,Abies,spp.,Wyoming,10831873.98,WY
7,s10,fir spp.,Abies spp.,Abies,spp.,Wisconsin,3622173.51,WI
8,s10,fir spp.,Abies spp.,Abies,spp.,Idaho,30385390.43,ID
9,s10,fir spp.,Abies spp.,Abies,spp.,Vermont,1828723.137,VT
10,s10,fir spp.,Abies spp.,Abies,spp.,Minnesota,6028040.279,MN
11,s10,fir spp.,Abies spp.,Abies,spp.,Oregon,26350079.13,OR
12,s10,fir spp.,Abies spp.,Abies,spp.,New Hampshire,2746230.93,NH
13,s10,fir spp.,Abies spp.,Abies,spp.,Iowa,0,IA
14,s10,fir spp.,Abies spp.,Abies,spp.,Massachusetts,75817.82198,MA
15,s10,fir spp.,Abies spp.,Abies,spp.,Nebraska,0,NE
16,s10,fir spp.,Abies spp.,Abies,spp.,New York,3433812.201,NY
17,s10,fir spp.,Abies spp.,Abies,spp.,Pennsylvania,10641.09834,PA
18,s10,fir spp.,Abies spp.,Abies,spp.,Connecticut,5348.663843,CT
19,s10,fir spp.,Abies spp.,Abies,spp.,Rhode Island,104.8276051,RI
20,s10,fir spp.,Abies spp.,Abies,spp.,New Jersey,75.28315575,NJ
21,s10,fir spp.,Abies spp.,Abies,spp.,Indiana,60.13256901,IN
22,s10,fir spp.,Abies spp.,Abies,spp.,Nevada,1694958.662,NV
23,s10,fir spp.,Abies spp.,Abies,spp.,Utah,5389687.356,UT
24,s10,fir spp.,Abies spp.,Abies,spp.,California,47860222.39,CA
25,s10,fir spp.,Abies spp.,Abies,spp.,Ohio,20936.91526,OH
26,s10,fir spp.,Abies spp.,Abies,spp.,Illinois,7.483071268,DC
27,s10,fir spp.,Abies spp.,Abies,spp.,District of Columbia,8.23450385,DC
28,s10,fir spp.,Abies spp.,Abies,spp.,Delaware,1.03161291,DE
29,s10,fir spp.,Abies spp.,Abies,spp.,West Virginia,1698.81836,WV
30,s10,fir spp.,Abies spp.,Abies,spp.,Maryland,78.85627029,MD
31,s10,fir spp.,Abies spp.,Abies,spp.,Colorado,14037204.96,CO
32,s10,fir spp.,Abies spp.,Abies,spp.,Kentucky,158.7436989,KY
