"","spp.id","state","tot.ba"
"1","s133","Washington",168.054794706404
"2","s133","Montana",5269.31318759918
"3","s133","Maine",0
"4","s133","North Dakota",0
"5","s133","South Dakota",0
"6","s133","Wyoming",116322.763992105
"7","s133","Wisconsin",0
"8","s133","Idaho",48754.2751154902
"9","s133","Vermont",0
"10","s133","Minnesota",0
"11","s133","Oregon",329.6620846726
"12","s133","New Hampshire",0
"13","s133","Iowa",0
"14","s133","Massachusetts",0
"15","s133","Nebraska",0
"16","s133","New York",0
"17","s133","Pennsylvania",0
"18","s133","Connecticut",0
"19","s133","Rhode Island",0
"20","s133","New Jersey",0
"21","s133","Indiana",0
"22","s133","Nevada",22591801.3058354
"23","s133","Utah",2867428.21452296
"24","s133","California",4095834.66423539
"25","s133","Ohio",0
"26","s133","Illinois",0
"27","s133","District of Columbia",0
"28","s133","Delaware",0
"29","s133","West Virginia",0
"30","s133","Maryland",0
"31","s133","Colorado",835.124941660091
"32","s133","Kentucky",0
"33","s133","Kansas",0
"34","s133","Virginia",0
"35","s133","Missouri",0
"36","s133","Arizona",744823.285438162
"37","s133","Oklahoma",0
"38","s133","North Carolina",0
"39","s133","Tennessee",0
"40","s133","Texas",924.275011371472
"41","s133","New Mexico",38452.6984467052
"42","s133","Alabama",0
"43","s133","Mississippi",0
"44","s133","Georgia",0
"45","s133","South Carolina",0
"46","s133","Arkansas",0
"47","s133","Louisiana",0
"48","s133","Florida",0
"49","s133","Michigan",0
