"","common","scientific_name","genus_name","spp_name","spp_code","avg_bab"
"1","fir spp.","Abies spp.","Abies","spp.","s10","1.1"
"2","Pacific silver fir","Abies amabilis","Abies","amabilis","s11","65.2"
"3","balsam fir","Abies balsamea","Abies","balsamea","s12","14.8"
"4","white fir","Abies concolor","Abies","concolor","s15","53.7"
"5","Fraser fir","Abies fraseri","Abies","fraseri","s16","13.8"
"6","grand fir","Abies grandis","Abies","grandis","s17","39.8"
"7","subalpine fir","Abies lasiocarpa","Abies","lasiocarpa","s19","30.8"
"8","California red fir","Abies magnifica","Abies","magnifica","s20","82.1"
"9","Shasta red fir","Abies shastensis","Abies","shastensis","s21","86.3"
"10","noble fir","Abies procera","Abies","procera","s22","33.5"
"11","Chamaecyparis spp.","Chamaecyparis spp.","Chamaecyparis","spp.","s40","."
"12","Port-Orford-cedar","Chamaecyparis lawsoniana","Chamaecyparis","lawsoniana","s41","11.7"
"13","Alaska yellow-cedar","Chamaecyparis nootkatensis","Chamaecyparis","nootkatensis","s42","33.6"
"14","Atlantic white-cedar","Chamaecyparis thyoides","Chamaecyparis","thyoides","s43","6.5"
"15","redcedar/juniper spp.","Juniperus spp.","Juniperus","spp.","s57","0"
"16","Pinchot juniper","Juniperus pinchotii","Juniperus","pinchotii","s58","17.5"
"17","redberry juniper","Juniperus coahuilensis","Juniperus","coahuilensis","s59","21.9"
"18","Drooping juniper","Juniperus flaccida","Juniperus","flaccida","s60","0"
"19","Ashe juniper","Juniperus ashei","Juniperus","ashei","s61","39"
"20","alligator juniper","Juniperus deppeana","Juniperus","deppeana","s63","29.3"
"21","western juniper","Juniperus occidentalis","Juniperus","occidentalis","s64","24.5"
"22","Utah juniper","Juniperus osteosperma","Juniperus","osteosperma","s65","60.6"
"23","Rocky Mountain juniper","Juniperus scopulorum","Juniperus","scopulorum","s66","18.9"
"24","southern redcedar","Juniperus virginiana","Juniperus","virginiana","s67","6.3"
"25","eastern redcedar","Juniperus virginiana","Juniperus","virginiana","s68","10.5"
"26","oneseed juniper","Juniperus monosperma","Juniperus","monosperma","s69","43.8"
"27","larch spp.","Larix spp.","Larix","spp.","s70","25.1"
"28","tamarack (native)","Larix laricina","Larix","laricina","s71","16.4"
"29","western larch","Larix occidentalis","Larix","occidentalis","s73","18.3"
"30","incense-cedar","Calocedrus decurrens","Calocedrus","decurrens","s81","34.8"
"31","spruce spp.","Picea spp.","Picea","spp.","s90","9.9"
"32","Norway spruce","Picea abies","Picea","abies","s91","29.9"
"33","Engelmann spruce","Picea engelmannii","Picea","engelmannii","s93","43"
"34","white spruce","Picea glauca","Picea","glauca","s94","13"
"35","black spruce","Picea mariana","Picea","mariana","s95","16.3"
"36","blue spruce","Picea pungens","Picea","pungens","s96","25"
"37","red spruce","Picea rubens","Picea","rubens","s97","21.2"
"38","Sitka spruce","Picea sitchensis","Picea","sitchensis","s98","14.6"
"39","pine spp.","Pinus spp.","Pinus","spp.","s100","0"
